"Step","Status","ExitCode","Duration","Log"
"00 Check environment","OK","0","00:00:14.0283850","logs\multiseed\00_check_environment.log"
"01 Add split metadata columns","OK","0","00:00:00.9030200","logs\multiseed\01c_add_split_metadata.log"
"02 Validate split schema","OK","0","00:00:00.8946746","logs\multiseed\02_validate_split_schema.log"
"03 Validate no visual duplicates between splits","OK","0","00:00:28.5680655","logs\multiseed\03_check_near_duplicates.log"
"04 Validate feature files exist","OK","0","00:00:00.3458714","logs\multiseed\04_validate_features.log"
"Train E0 baseline CNN seed 123","OK","0","00:06:05.9921243","logs\multiseed\train_E0_seed_123.log"
"Train E1 segmented CNN seed 123","OK","0","00:07:13.9334399","logs\multiseed\train_E1_seed_123.log"
"Train E2 CNN texture seed 123","OK","0","00:07:07.2716908","logs\multiseed\train_E2_seed_123.log"
"Train E3 proposed segmented CNN texture seed 123","OK","0","00:08:39.7811067","logs\multiseed\train_E3_seed_123.log"
"Train E0 baseline CNN seed 2026","OK","0","00:05:22.1941369","logs\multiseed\train_E0_seed_2026.log"
"Train E1 segmented CNN seed 2026","OK","0","00:05:35.9116005","logs\multiseed\train_E1_seed_2026.log"
"Train E2 CNN texture seed 2026","OK","0","00:10:34.7091750","logs\multiseed\train_E2_seed_2026.log"
"Train E3 proposed segmented CNN texture seed 2026","OK","0","00:08:35.9729805","logs\multiseed\train_E3_seed_2026.log"
"Train E0 baseline CNN seed 7","OK","0","00:05:49.0709232","logs\multiseed\train_E0_seed_7.log"
"Train E1 segmented CNN seed 7","OK","0","00:09:20.0210695","logs\multiseed\train_E1_seed_7.log"
"Train E2 CNN texture seed 7","OK","0","00:08:32.6762401","logs\multiseed\train_E2_seed_7.log"
"Train E3 proposed segmented CNN texture seed 7","OK","0","00:12:14.3452235","logs\multiseed\train_E3_seed_7.log"
"Train E0 baseline CNN seed 99","OK","0","00:06:28.1772353","logs\multiseed\train_E0_seed_99.log"
"Train E1 segmented CNN seed 99","OK","0","00:06:04.8550401","logs\multiseed\train_E1_seed_99.log"
"Train E2 CNN texture seed 99","OK","0","00:06:24.9694731","logs\multiseed\train_E2_seed_99.log"
"Train E3 proposed segmented CNN texture seed 99","OK","0","00:07:24.9319158","logs\multiseed\train_E3_seed_99.log"
"Compare all experiments","OK","0","00:00:00.9467104","logs\multiseed\compare_all_experiments.log"
"Export paper assets","OK","0","00:00:00.5806847","logs\multiseed\export_paper_assets.log"
"Aggregate multiseed results","OK","0","00:00:01.6482458","logs\multiseed\aggregate_multiseed_results.log"
"Print multiseed summary","OK","0","00:00:00.5357451","logs\multiseed\print_multiseed_summary.log"
"Print paired deltas vs E0","OK","0","00:00:00.5434821","logs\multiseed\print_paired_deltas.log"
